Término|Nº occ esp|N(d,e)|N(d,e')|N(d',e)|Et|P(e,d)|P(d,e)|ICC
(None, None, 'afinidad')|1|1|1619|4|5|0.0006172839506172839|0.2|0.16666666666666666|
('convencional', ':')|1|1|1619|28|17|0.0006172839506172839|0.034482758620689655|0.05555555555555555|
madrileña|1|1|1619|29|14|0.0006172839506172839|0.03333333333333333|0.06666666666666667|
('previamente', 'congelados', ',')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
('parejas', '.', None)|1|1|1619|15|8|0.0006172839506172839|0.0625|0.1111111111111111|
('conciencia', 'ante', 'algunos')|1|1|1619|3|4|0.0006172839506172839|0.25|0.2|
('y', 'diferenciales', 'en')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
('del', 'factor', 'vii')|1|1|1619|44|19|0.0006172839506172839|0.022222222222222223|0.05|
('conciencia', '.', None)|2|2|1618|25|13|0.0012345679012345679|0.07407407407407407|0.07142857142857142|
('preeclampsia', '.', None)|1|1|1619|171|19|0.0006172839506172839|0.005813953488372093|0.05|
('de', 'urologia', '.')|1|1|1619|6|5|0.0006172839506172839|0.14285714285714285|0.16666666666666666|
(None, 'erección', 'peneana')|1|1|1619|6|5|0.0006172839506172839|0.14285714285714285|0.16666666666666666|
('próximo', 'milenio', '?')|1|1|1619|6|7|0.0006172839506172839|0.14285714285714285|0.125|
('un', 'solo')|1|1|1619|159|29|0.0006172839506172839|0.00625|0.03333333333333333|
('y', 'nuevos', 'escenarios')|1|1|1619|0|1|0.0006172839506172839|1.0|0.5|
('dinamica', 'del', 'uso')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
('afinidad', 'anatomía', 'urología')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
('alternativa', 'en', 'planificacion')|1|1|1619|0|1|0.0006172839506172839|1.0|0.5|
('del', 'primer')|4|4|1616|344|40|0.0024691358024691358|0.011494252873563218|0.024390243902439025|
vessie|1|1|1619|3|3|0.0006172839506172839|0.25|0.25|
doble|1|1|1619|909|45|0.0006172839506172839|0.001098901098901099|0.021739130434782608|
('la', 'historia', 'clínica')|1|1|1619|180|32|0.0006172839506172839|0.0055248618784530384|0.030303030303030304|
('grupo', 'de', 'pacientes')|1|1|1619|233|38|0.0006172839506172839|0.004273504273504274|0.02564102564102564|
('laparoscópica', 'urológica')|3|3|1617|16|6|0.001851851851851852|0.15789473684210525|0.14285714285714285|
('de', 'niños')|1|1|1619|1050|45|0.0006172839506172839|0.0009514747859181732|0.021739130434782608|
('necesidad', 'del', 'andrologo')|2|1|1619|2|3|0.0006172839506172839|0.3333333333333333|0.25|
('de', 'la', 'transcripción')|1|1|1619|3|4|0.0006172839506172839|0.25|0.2|
('los', 'informes')|1|1|1619|78|17|0.0006172839506172839|0.012658227848101266|0.05555555555555555|
('catimor', ')')|1|1|1619|0|1|0.0006172839506172839|1.0|0.5|
('poscoital', '.', None)|1|1|1619|5|4|0.0006172839506172839|0.16666666666666666|0.2|
('factores', 'psicoginecológicos')|1|1|1619|3|4|0.0006172839506172839|0.25|0.2|
('el', 'acceso')|1|1|1619|118|32|0.0006172839506172839|0.008403361344537815|0.030303030303030304|
('derechos', 'humanos', 'y')|3|3|1617|17|10|0.001851851851851852|0.15|0.09090909090909091|
('pérez', 'castro', 'en')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
(',', 'la', 'genitalidad')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
('ley', 'sobre', 'técnicas')|1|1|1619|0|1|0.0006172839506172839|1.0|0.5|
('problemas', 'de')|1|1|1619|522|39|0.0006172839506172839|0.0019120458891013384|0.025|
('sometidas', 'a', 'hiperestimulación')|2|2|1618|1|2|0.0012345679012345679|0.6666666666666666|0.3333333333333333|
implicadosen|1|1|1619|0|1|0.0006172839506172839|1.0|0.5|
('estudiantes', 'de', 'una')|1|1|1619|20|9|0.0006172839506172839|0.047619047619047616|0.1|
('atención', 'a', 'mujeres')|1|1|1619|4|5|0.0006172839506172839|0.2|0.16666666666666666|
('(', '1977-1996')|2|2|1618|2|2|0.0012345679012345679|0.5|0.3333333333333333|
('y', 'consulta', 'por')|1|1|1619|0|1|0.0006172839506172839|1.0|0.5|
('el', 'modelo', 'tabrap/converse')|1|1|1619|2|3|0.0006172839506172839|0.3333333333333333|0.25|
(None, None, 'aspectos')|15|15|1605|3462|49|0.009259259259259259|0.004314063848144953|0.02|
('obtención', 'de', 'tejidos')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
psicosociales|2|2|1618|212|28|0.0012345679012345679|0.009345794392523364|0.034482758620689655|
('y', 'el', 'oro')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
asociados|10|10|1610|3927|49|0.006172839506172839|0.00254000508001016|0.02|
('de', 'enero', 'de')|1|1|1619|15|11|0.0006172839506172839|0.0625|0.08333333333333333|
(None, 'la', 'transición')|1|1|1619|31|9|0.0006172839506172839|0.03125|0.1|
('lactancia', 'exitosa')|1|1|1619|4|5|0.0006172839506172839|0.2|0.16666666666666666|
('los', 'programas', 'de')|6|5|1615|465|36|0.0030864197530864196|0.010638297872340425|0.02702702702702703|
('libre', 'acceso', '.')|1|1|1619|0|1|0.0006172839506172839|1.0|0.5|
('asistida', 'y', 'la')|2|2|1618|1|2|0.0012345679012345679|0.6666666666666666|0.3333333333333333|
('metodos', 'anticonceptivos')|8|8|1612|9|5|0.0049382716049382715|0.47058823529411764|0.16666666666666666|
(None, 'qué', 'hacer')|1|1|1619|33|16|0.0006172839506172839|0.029411764705882353|0.058823529411764705|
('artritis', 'reumatoide')|1|1|1619|761|40|0.0006172839506172839|0.0013123359580052493|0.024390243902439025|
('valedictory', 'lecture')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
mexico|10|10|1610|477|35|0.006172839506172839|0.02053388090349076|0.027777777777777776|
(None, 'hacer', 'anatomías')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
('modificada', 'en', 'el')|1|1|1619|9|8|0.0006172839506172839|0.1|0.1111111111111111|
('telemedicina', 'en')|1|1|1619|22|13|0.0006172839506172839|0.043478260869565216|0.07142857142857142|
('puigvert', 'gorro', '.')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
('psicosexuales', 'con')|1|1|1619|3|4|0.0006172839506172839|0.25|0.2|
(None, 'factores', 'causales')|1|1|1619|5|6|0.0006172839506172839|0.16666666666666666|0.14285714285714285|
('joseph', 'bell', '(')|1|1|1619|3|4|0.0006172839506172839|0.25|0.2|
('procreación', 'y')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
('reto', 'que')|1|1|1619|11|10|0.0006172839506172839|0.08333333333333333|0.09090909090909091|
('inseminación', 'artificial', 'realizada')|1|1|1619|2|3|0.0006172839506172839|0.3333333333333333|0.25|
('adolescentes', '(')|1|1|1619|27|13|0.0006172839506172839|0.03571428571428571|0.07142857142857142|
('cuartos', ')')|1|1|1619|4|5|0.0006172839506172839|0.2|0.16666666666666666|
multifactorial|2|2|1618|145|27|0.0012345679012345679|0.013605442176870748|0.03571428571428571|
('latinoamericana', '.', None)|2|2|1618|48|18|0.0012345679012345679|0.04|0.05263157894736842|
('efectividad', 'de')|1|1|1619|998|47|0.0006172839506172839|0.001001001001001001|0.020833333333333332|
('uretrales', ':', 'pueden')|1|1|1619|3|4|0.0006172839506172839|0.25|0.2|
(',', '1960-1970')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
('la', 'ética')|2|2|1618|57|20|0.0012345679012345679|0.03389830508474576|0.047619047619047616|
(None, None, 'un')|23|22|1598|3716|50|0.013580246913580247|0.005885500267522739|0.0196078431372549|
anual|1|1|1619|255|34|0.0006172839506172839|0.00390625|0.02857142857142857|
('la', 'eyaculación', 'precoz')|2|2|1618|6|5|0.0012345679012345679|0.25|0.16666666666666666|
('vitro', "''")|5|5|1615|117|24|0.0030864197530864196|0.040983606557377046|0.04|
('terapéutica', 'homóloga', 'y')|1|1|1619|0|1|0.0006172839506172839|1.0|0.5|
('estadistica', 'nacional')|1|1|1619|4|5|0.0006172839506172839|0.2|0.16666666666666666|
('utilidad', 'de', 'las')|2|2|1618|224|34|0.0012345679012345679|0.008849557522123894|0.02857142857142857|
condición|1|1|1619|177|26|0.0006172839506172839|0.0056179775280898875|0.037037037037037035|
(None, None, 'semiología')|1|1|1619|70|25|0.0006172839506172839|0.014084507042253521|0.038461538461538464|
('ciclofenilo', '.', None)|1|1|1619|2|3|0.0006172839506172839|0.3333333333333333|0.25|
('empleo', 'de')|3|3|1617|718|44|0.001851851851851852|0.004160887656033287|0.022222222222222223|
('impotencia', 'sexual')|1|1|1619|16|8|0.0006172839506172839|0.058823529411764705|0.1111111111111111|
('abo', 'en', 'la')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
('inseminaciones', 'artificiales')|1|1|1619|0|1|0.0006172839506172839|1.0|0.5|
(None, 'política', 'de')|1|1|1619|28|13|0.0006172839506172839|0.034482758620689655|0.07142857142857142|
('mujer', 'obesa', 'que')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
('en', '1913', '.')|1|1|1619|2|3|0.0006172839506172839|0.3333333333333333|0.25|
('bomba', 'de', 'cobalto60')|1|1|1619|6|7|0.0006172839506172839|0.14285714285714285|0.125|
('panamá', '.')|1|1|1619|119|25|0.0006172839506172839|0.008333333333333333|0.038461538461538464|
('problemática', 'etica')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
('espermatozoide', 'como', 'factor')|1|1|1619|3|4|0.0006172839506172839|0.25|0.2|
('dr.', 'ruiz-cerdá', ',')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
('caso', 'evans')|1|1|1619|0|1|0.0006172839506172839|1.0|0.5|
('orina', '.', None)|4|4|1616|102|21|0.0024691358024691358|0.03773584905660377|0.045454545454545456|
('1946', ')')|1|1|1619|7|8|0.0006172839506172839|0.125|0.1111111111111111|
(None, 'el', 'inédito')|1|1|1619|2|3|0.0006172839506172839|0.3333333333333333|0.25|
('.', 'métodos', 'contraceptivos')|1|1|1619|0|1|0.0006172839506172839|1.0|0.5|
('opinion', 'in', 'urology')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
('prostitución', 'en')|2|2|1618|25|9|0.0012345679012345679|0.07407407407407407|0.1|
memoria|2|2|1618|477|39|0.0012345679012345679|0.0041753653444676405|0.025|
('v', 'de')|1|1|1619|30|17|0.0006172839506172839|0.03225806451612903|0.05555555555555555|
('honduras', '.', None)|1|1|1619|90|21|0.0006172839506172839|0.01098901098901099|0.045454545454545456|
viral|1|1|1619|599|36|0.0006172839506172839|0.0016666666666666668|0.02702702702702703|
('preservativo', 'en')|1|1|1619|6|5|0.0006172839506172839|0.14285714285714285|0.16666666666666666|
('la', 'paternidad')|1|1|1619|6|6|0.0006172839506172839|0.14285714285714285|0.14285714285714285|
('usuarios', 'de')|2|2|1618|287|28|0.0012345679012345679|0.006920415224913495|0.034482758620689655|
(None, 'regulación', 'jurídica')|1|1|1619|0|1|0.0006172839506172839|1.0|0.5|
(None, None, 'unidades')|1|1|1619|117|27|0.0006172839506172839|0.00847457627118644|0.03571428571428571|
inducido|4|4|1616|381|39|0.0024691358024691358|0.01038961038961039|0.025|
('en', 'el', 'escorial')|1|1|1619|2|3|0.0006172839506172839|0.3333333333333333|0.25|
('poblacion', ',', 'la')|1|1|1619|0|1|0.0006172839506172839|1.0|0.5|
pildora|3|3|1617|6|6|0.001851851851851852|0.3333333333333333|0.14285714285714285|
('aspectos', 'socioculturales')|1|1|1619|11|7|0.0006172839506172839|0.08333333333333333|0.125|
('encuestas', 'sobre')|1|1|1619|18|7|0.0006172839506172839|0.05263157894736842|0.125|
('de', 'la', 'salud')|8|8|1612|1523|45|0.0049382716049382715|0.005225342913128674|0.021739130434782608|
boyaca|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
('para', 'preservar')|1|1|1619|7|5|0.0006172839506172839|0.125|0.16666666666666666|
('en', 'la', 'caja')|1|1|1619|5|5|0.0006172839506172839|0.16666666666666666|0.16666666666666666|
('riesgos', 'de')|2|2|1618|102|28|0.0012345679012345679|0.019230769230769232|0.034482758620689655|
('el', 'choque', 'de')|1|1|1619|2|3|0.0006172839506172839|0.3333333333333333|0.25|
('análogos', 'de', 'gnrh')|1|1|1619|4|5|0.0006172839506172839|0.2|0.16666666666666666|
('lograron', 'embarazo', 'por')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
('previamente', 'congelados')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
('en', 'proctologia')|1|1|1619|14|9|0.0006172839506172839|0.06666666666666667|0.1|
('en', 'niñas')|1|1|1619|115|20|0.0006172839506172839|0.008620689655172414|0.047619047619047616|
('razonada', 'a', 'la')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
('y', 'factores')|2|2|1618|2794|47|0.0012345679012345679|0.000715307582260372|0.020833333333333332|
(None, 'complicaciones', 'urológicas')|1|1|1619|47|12|0.0006172839506172839|0.020833333333333332|0.07692307692307693|
('programa', 'de', 'inseminación')|2|2|1618|0|1|0.0012345679012345679|1.0|0.5|
(',', 'éticos', 'y')|1|1|1619|4|5|0.0006172839506172839|0.2|0.16666666666666666|
sh|1|1|1619|2|3|0.0006172839506172839|0.3333333333333333|0.25|
(None, 'colonización')|1|1|1619|94|22|0.0006172839506172839|0.010526315789473684|0.043478260869565216|
('permanente', 'por')|1|1|1619|8|7|0.0006172839506172839|0.1111111111111111|0.125|
('de', '1911')|1|1|1619|2|3|0.0006172839506172839|0.3333333333333333|0.25|
('tratado', 'de', 'urología')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
('el', 'riesgo', 'de')|2|2|1618|411|38|0.0012345679012345679|0.004842615012106538|0.02564102564102564|
('con', 'defectos', 'diafragmáticos')|1|1|1619|3|4|0.0006172839506172839|0.25|0.2|
('del', 'preservativo', 'en')|1|1|1619|6|5|0.0006172839506172839|0.14285714285714285|0.16666666666666666|
('medicina', 'interna', '.')|1|1|1619|675|34|0.0006172839506172839|0.0014792899408284023|0.02857142857142857|
('autoinyector', 'con', 'fármacos')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
ticonceptivo|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
('en', 'anticoncepción', 'y')|1|1|1619|2|3|0.0006172839506172839|0.3333333333333333|0.25|
('prolactina', 'en')|1|1|1619|63|22|0.0006172839506172839|0.015625|0.043478260869565216|
('las', 'nefropatías')|1|1|1619|56|10|0.0006172839506172839|0.017543859649122806|0.09090909090909091|
('crónica', 'histórica', 'de')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
('de', 'embriones', '(')|1|1|1619|5|6|0.0006172839506172839|0.16666666666666666|0.14285714285714285|
('bioético', 'sobre')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
(None, None, 'rigidómetro')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
('actividad', 'del', 'urólogo')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
('de', 'los', 'médicos')|4|4|1616|364|35|0.0024691358024691358|0.010869565217391304|0.027777777777777776|
(None, None, 'bioética')|3|3|1617|24|16|0.001851851851851852|0.1111111111111111|0.058823529411764705|
('díaz', '(', '1875-1957')|1|1|1619|3|4|0.0006172839506172839|0.25|0.2|
('moco', 'cervical', 'y')|1|1|1619|7|7|0.0006172839506172839|0.125|0.125|
('ley', 'orgánica', '2/2010')|3|3|1617|9|4|0.001851851851851852|0.25|0.2|
('en', 'ateneo')|1|1|1619|0|1|0.0006172839506172839|1.0|0.5|
('literatura', '.')|3|3|1617|1327|48|0.001851851851851852|0.002255639097744361|0.02040816326530612|
('una', 'nueva', 'disciplina')|1|1|1619|7|7|0.0006172839506172839|0.125|0.125|
('la', 'producción', 'de')|2|2|1618|119|30|0.0012345679012345679|0.01652892561983471|0.03225806451612903|
politicas|1|1|1619|45|9|0.0006172839506172839|0.021739130434782608|0.1|
('campo', 'de')|1|1|1619|141|35|0.0006172839506172839|0.007042253521126761|0.027777777777777776|
('test', 'de', 'vacuum')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
('ponencia', 'sobre', 'tumores')|1|1|1619|4|5|0.0006172839506172839|0.2|0.16666666666666666|
('la', 'impotencia')|2|2|1618|41|10|0.0012345679012345679|0.046511627906976744|0.09090909090909091|
('la', 'iconografía')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
('ingeniería', 'genética')|2|2|1618|8|8|0.0012345679012345679|0.2|0.1111111111111111|
voluntaria|11|11|1609|121|22|0.006790123456790123|0.08333333333333333|0.043478260869565216|
('de', 'tratamiento')|3|3|1617|1410|46|0.001851851851851852|0.0021231422505307855|0.02127659574468085|
('de', 'la', 'ensa')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
microbiológico|1|1|1619|400|36|0.0006172839506172839|0.0024937655860349127|0.02702702702702703|
('la', 'ley', 'de')|4|4|1616|54|18|0.0024691358024691358|0.06896551724137931|0.05263157894736842|
(',', 'méxico', '.')|3|3|1617|1034|39|0.001851851851851852|0.0028929604628736743|0.025|
(None, 'el', 'humor')|1|1|1619|2|3|0.0006172839506172839|0.3333333333333333|0.25|
('observacional', 'en')|1|1|1619|25|13|0.0006172839506172839|0.038461538461538464|0.07142857142857142|
('tribunal', 'constitucional', 'de')|1|1|1619|2|3|0.0006172839506172839|0.3333333333333333|0.25|
('una', 'prueba')|1|1|1619|176|32|0.0006172839506172839|0.005649717514124294|0.030303030303030304|
(',', 'hiperestimulación', 'ovárica')|1|1|1619|2|3|0.0006172839506172839|0.3333333333333333|0.25|
('urología', 'del', 'futuro')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
federal|2|2|1618|218|25|0.0012345679012345679|0.00909090909090909|0.038461538461538464|
retroperitoneallaparoscópica|1|1|1619|6|7|0.0006172839506172839|0.14285714285714285|0.125|
('masculino', 'alterado')|1|1|1619|2|3|0.0006172839506172839|0.3333333333333333|0.25|
('avances', 'y', 'perspectivas')|1|1|1619|30|18|0.0006172839506172839|0.03225806451612903|0.05263157894736842|
('la', 'urología', '.')|4|4|1616|14|8|0.0024691358024691358|0.2222222222222222|0.1111111111111111|
('intención', 'de')|1|1|1619|32|14|0.0006172839506172839|0.030303030303030304|0.06666666666666667|
('el', 'renacimiento', '.')|1|1|1619|3|3|0.0006172839506172839|0.25|0.25|
('las', 'usuarias', 'del')|1|1|1619|8|3|0.0006172839506172839|0.1111111111111111|0.25|
('quede', 'como', 'estoy')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
constitucionales|1|1|1619|49|19|0.0006172839506172839|0.02|0.05|
('multicéntrico', '.')|1|1|1619|282|36|0.0006172839506172839|0.0035335689045936395|0.02702702702702703|
('35/1988', 'a', 'las')|1|1|1619|3|4|0.0006172839506172839|0.25|0.2|
('hormonas', 'en')|1|1|1619|18|12|0.0006172839506172839|0.05263157894736842|0.07692307692307693|
('científica', '.', None)|1|1|1619|130|31|0.0006172839506172839|0.007633587786259542|0.03125|
('la', 'adolescente', 'embarazada')|1|1|1619|23|12|0.0006172839506172839|0.041666666666666664|0.07692307692307693|
('la', 'ovulación', ',')|1|1|1619|2|3|0.0006172839506172839|0.3333333333333333|0.25|
('del', 'sistema', 'nervioso')|1|1|1619|700|39|0.0006172839506172839|0.0014265335235378032|0.025|
('reconsideración', 'de', 'su')|1|1|1619|0|1|0.0006172839506172839|1.0|0.5|
ligadura|5|4|1616|313|28|0.0024691358024691358|0.012618296529968454|0.034482758620689655|
('daño', 'en', 'el')|1|1|1619|10|8|0.0006172839506172839|0.09090909090909091|0.1111111111111111|
artículos|4|4|1616|171|34|0.0024691358024691358|0.022857142857142857|0.02857142857142857|
('1933-2015', ')', ',')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
('urologia', 'ginecologica')|1|1|1619|2|3|0.0006172839506172839|0.3333333333333333|0.25|
avance|1|1|1619|115|33|0.0006172839506172839|0.008620689655172414|0.029411764705882353|
('plan', 'mundial')|1|1|1619|2|3|0.0006172839506172839|0.3333333333333333|0.25|
('urólogo', 'y', 'las')|1|1|1619|4|5|0.0006172839506172839|0.2|0.16666666666666666|
('la', 'frecuencia', 'de')|3|3|1617|224|31|0.001851851851851852|0.013215859030837005|0.03125|
('14/2006', ',', 'de')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
(None, None, 'vigo')|1|1|1619|4|4|0.0006172839506172839|0.2|0.2|
('la', 'concentración', 'de')|1|1|1619|147|37|0.0006172839506172839|0.006756756756756757|0.02631578947368421|
('supina', '.', None)|1|1|1619|8|7|0.0006172839506172839|0.1111111111111111|0.125|
('recurso', 'de', 'inconstitucionalidad')|3|3|1617|2|3|0.001851851851851852|0.6|0.25|
('las', 'mujeres')|11|11|1609|431|34|0.006790123456790123|0.024886877828054297|0.02857142857142857|
enterocistoplastia|1|1|1619|26|8|0.0006172839506172839|0.037037037037037035|0.1111111111111111|
('(', '1933-2015')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
('vertical', 'y', 'tratamiento')|1|1|1619|11|12|0.0006172839506172839|0.08333333333333333|0.07692307692307693|
('la', 'literatura')|5|5|1615|1692|48|0.0030864197530864196|0.0029463759575721863|0.02040816326530612|
('la', 'investiga-')|1|1|1619|0|1|0.0006172839506172839|1.0|0.5|
('de', 'larga')|2|2|1618|170|40|0.0012345679012345679|0.011627906976744186|0.024390243902439025|
('de', 'un', 'complejo')|1|1|1619|5|4|0.0006172839506172839|0.16666666666666666|0.2|
('la', 'asociación')|14|14|1606|746|42|0.008641975308641974|0.018421052631578946|0.023255813953488372|
importados|1|1|1619|16|8|0.0006172839506172839|0.058823529411764705|0.1111111111111111|
núñez|1|1|1619|11|10|0.0006172839506172839|0.08333333333333333|0.09090909090909091|
('colombia', 'con')|1|1|1619|28|24|0.0006172839506172839|0.034482758620689655|0.04|
('sintomatología', 'miccional', 'de')|1|1|1619|3|3|0.0006172839506172839|0.25|0.25|
('primeros', 'resultados', 'obtenidos')|1|1|1619|10|7|0.0006172839506172839|0.09090909090909091|0.125|
('años', 'sesenta')|1|1|1619|5|6|0.0006172839506172839|0.16666666666666666|0.14285714285714285|
('óvulos', 'y', 'gift')|1|1|1619|0|1|0.0006172839506172839|1.0|0.5|
('de', 'billings')|2|2|1618|2|3|0.0012345679012345679|0.5|0.25|
('de', 'tratamientos', 'médicos')|1|1|1619|3|4|0.0006172839506172839|0.25|0.2|
('desprotección', 'jurídica', 'del')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
('esterilizacion', 'femenina', ':')|1|1|1619|3|4|0.0006172839506172839|0.25|0.2|
('homotálicas', 'con', 'cepas')|1|1|1619|0|1|0.0006172839506172839|1.0|0.5|
('en', 'cinco', 'regiones')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
('con', 'el', 'enantato')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
('afirmación', 'de')|1|1|1619|0|1|0.0006172839506172839|1.0|0.5|
('criadero', 'comercial', ',')|1|1|1619|3|4|0.0006172839506172839|0.25|0.2|
('sector', 'de')|2|2|1618|27|11|0.0012345679012345679|0.06896551724137931|0.08333333333333333|
('adolescentes', 'escolarizados')|1|1|1619|57|11|0.0006172839506172839|0.017241379310344827|0.08333333333333333|
('peso', 'en')|1|1|1619|188|27|0.0006172839506172839|0.005291005291005291|0.03571428571428571|
('dr.', 'd.', 'antonio')|1|1|1619|4|5|0.0006172839506172839|0.2|0.16666666666666666|
('biotecnología', 'y', 'sociedad')|1|1|1619|0|1|0.0006172839506172839|1.0|0.5|
('ovulación', 'inducida')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
('alta', 'especialidad')|1|1|1619|113|28|0.0006172839506172839|0.008771929824561403|0.034482758620689655|
('la', 'atención')|4|4|1616|2100|47|0.0024691358024691358|0.0019011406844106464|0.020833333333333332|
('la', 'resistencia')|1|1|1619|350|36|0.0006172839506172839|0.002849002849002849|0.02702702702702703|
('de', 'drogas')|1|1|1619|490|34|0.0006172839506172839|0.002036659877800407|0.02857142857142857|
("''", 'y', 'esbozos')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
('práctica', 'clínica')|3|3|1617|1591|49|0.001851851851851852|0.0018820577164366374|0.02|
('un', 'panorama')|1|1|1619|15|13|0.0006172839506172839|0.0625|0.07142857142857142|
('y', 'validez')|1|1|1619|148|25|0.0006172839506172839|0.006711409395973154|0.038461538461538464|
('de', 'los', 'premios')|1|1|1619|4|5|0.0006172839506172839|0.2|0.16666666666666666|
ovulatoria|2|2|1618|5|6|0.0012345679012345679|0.2857142857142857|0.14285714285714285|
('estériles', 'con')|1|1|1619|3|4|0.0006172839506172839|0.25|0.2|
('dna', 'espermático')|1|1|1619|0|1|0.0006172839506172839|1.0|0.5|
('inicio', 'de')|2|2|1618|217|36|0.0012345679012345679|0.0091324200913242|0.02702702702702703|
('mujeres', 'de', 'la')|1|1|1619|71|16|0.0006172839506172839|0.013888888888888888|0.058823529411764705|
('implicaciones', 'docente-asistenciales', '.')|1|1|1619|2|3|0.0006172839506172839|0.3333333333333333|0.25|
('urología', 'en', 'méxico')|2|2|1618|4|4|0.0012345679012345679|0.3333333333333333|0.2|
('von', 'lichtenberg')|3|3|1617|3|2|0.001851851851851852|0.5|0.3333333333333333|
(None, 'manejo', 'simplificado')|1|1|1619|3|4|0.0006172839506172839|0.25|0.2|
('quirurgica', 'fallida')|1|1|1619|4|5|0.0006172839506172839|0.2|0.16666666666666666|
('sanitarias', '.')|1|1|1619|123|25|0.0006172839506172839|0.008064516129032258|0.038461538461538464|
('del', 'aborto', 'espontáneo')|1|1|1619|5|6|0.0006172839506172839|0.16666666666666666|0.14285714285714285|
('renal', 'a')|1|1|1619|55|16|0.0006172839506172839|0.017857142857142856|0.058823529411764705|
('monográficocirugía', 'uretral')|1|1|1619|2|3|0.0006172839506172839|0.3333333333333333|0.25|
('(', 'especie', 'c2')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
('caribe', ':', 'tendencias')|1|1|1619|2|3|0.0006172839506172839|0.3333333333333333|0.25|
('y', 'cuádruple')|1|1|1619|4|5|0.0006172839506172839|0.2|0.16666666666666666|
('un', 'marco', 'para')|1|1|1619|4|5|0.0006172839506172839|0.2|0.16666666666666666|
('cronología', 'de', 'osificación')|2|2|1618|0|1|0.0012345679012345679|1.0|0.5|
('el', 'imaginario')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
intereses|1|1|1619|48|23|0.0006172839506172839|0.02040816326530612|0.041666666666666664|
('programa', 'educativo', '.')|1|1|1619|3|4|0.0006172839506172839|0.25|0.2|
oportunidad|2|2|1618|286|38|0.0012345679012345679|0.006944444444444444|0.02564102564102564|
('menstruales', 'en', 'la')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
(None, 'etica', 'en')|1|1|1619|2|3|0.0006172839506172839|0.3333333333333333|0.25|
('ligadura', 'tubarica', 'con')|1|1|1619|4|5|0.0006172839506172839|0.2|0.16666666666666666|
sincope|1|1|1619|8|6|0.0006172839506172839|0.1111111111111111|0.14285714285714285|
('ovario', 'poliquístico', '.')|1|1|1619|89|14|0.0006172839506172839|0.011111111111111112|0.06666666666666667|
agonistas|3|3|1617|106|24|0.001851851851851852|0.027522935779816515|0.04|
